Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:46:34        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:46:35        all      0.00      0.00      0.00      0.00      0.00      0.00      0.40      0.00      0.00     99.60
01:46:35          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:46:35          1      0.00      0.00      0.00      0.00      0.00      0.00      1.96      0.00      0.00     98.04
01:46:35          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:46:35          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:46:35          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.40      0.00      0.00     99.60
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      1.96      0.00      0.00     98.04
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:46:34       proc/s   cswch/s
01:46:35         0.00    367.00
Average:         0.00    367.00

01:46:34         INTR    intr/s
01:46:35          sum    267.00
01:46:35            0      0.00
01:46:35            1      0.00
01:46:35            2     96.00
01:46:35            3      0.00
01:46:35            4      0.00
01:46:35            5      0.00
01:46:35            6      0.00
01:46:35            7      0.00
01:46:35            8      0.00
01:46:35            9      0.00
01:46:35           10      0.00
01:46:35           11     87.00
01:46:35           12      0.00
01:46:35           13      3.00
01:46:35           14      0.00
01:46:35           15      0.00
01:46:35           16      0.00
01:46:35           17     79.00
01:46:35           18      0.00
01:46:35           19      1.00
01:46:35           20      0.00
01:46:35           21      0.00
01:46:35           22      0.00
01:46:35           23      0.00
01:46:35           24      0.00
01:46:35           25      0.00
01:46:35           26      0.00
01:46:35           27      0.00
01:46:35           28      0.00
01:46:35           29      0.00
01:46:35           30      0.00
01:46:35           31      0.00
01:46:35           32      0.00
01:46:35           33      0.00
01:46:35           34      0.00
01:46:35           35      0.00
01:46:35           36      0.00
01:46:35           37      0.00
01:46:35           38      0.00
01:46:35           39      0.00
01:46:35           40      0.00
01:46:35           41      0.00
01:46:35           42      0.00
01:46:35           43      0.00
01:46:35           44      0.00
01:46:35           45      0.00
01:46:35           46      0.00
01:46:35           47      0.00
01:46:35           48      0.00
01:46:35           49      0.00
01:46:35           50      0.00
01:46:35           51      0.00
01:46:35           52      0.00
01:46:35           53      0.00
01:46:35           54      0.00
01:46:35           55      0.00
01:46:35           56      0.00
01:46:35           57      0.00
01:46:35           58      0.00
01:46:35           59      0.00
01:46:35           60      0.00
01:46:35           61      0.00
01:46:35           62      0.00
01:46:35           63      0.00
Average:          sum    267.00
Average:            0      0.00
Average:            1      0.00
Average:            2     96.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     87.00
Average:           12      0.00
Average:           13      3.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     79.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:46:34     pswpin/s pswpout/s
01:46:35         0.00      0.00
Average:         0.00      0.00

01:46:34     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:46:35         0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00

01:46:34          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
01:46:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:46:34    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:46:35       880544   1008960     87844      7.79     17640    118776     43744      3.88     31476    108372        48      3544     22912      1680       340      4120
Average:       880544   1008960     87844      7.79     17640    118776     43744      3.88     31476    108372        48      3544     22912      1680       340      4120

01:46:34    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:46:35            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:46:34    kbhugfree kbhugused  %hugused kbhugrsvd kbhugsurp
01:46:35            0         0      0.00         0         0
Average:            0         0      0.00         0         0

01:46:34    dentunusd   file-nr  inode-nr    pty-nr
01:46:35          157        32       798         0
Average:          157        32       798         0

01:46:34      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:46:35            0       101      0.00      0.00      0.00         0
Average:            0       101      0.00      0.00      0.00         0

01:46:34          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
