Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:24:35        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:24:36        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00     99.80
01:24:36          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:36          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:36          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:36          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:36          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:24:35       proc/s   cswch/s
01:24:36         0.00    308.00
Average:         0.00    308.00

01:24:35         INTR    intr/s
01:24:36          sum    210.00
01:24:36            0      0.00
01:24:36            1      0.00
01:24:36            2     72.00
01:24:36            3      0.00
01:24:36            4      0.00
01:24:36            5      0.00
01:24:36            6      0.00
01:24:36            7      0.00
01:24:36            8      0.00
01:24:36            9      0.00
01:24:36           10      0.00
01:24:36           11     71.00
01:24:36           12      0.00
01:24:36           13      3.00
01:24:36           14      0.00
01:24:36           15      0.00
01:24:36           16      0.00
01:24:36           17     63.00
01:24:36           18      0.00
01:24:36           19      1.00
01:24:36           20      0.00
01:24:36           21      0.00
01:24:36           22      0.00
01:24:36           23      0.00
01:24:36           24      0.00
01:24:36           25      0.00
01:24:36           26      0.00
01:24:36           27      0.00
01:24:36           28      0.00
01:24:36           29      0.00
01:24:36           30      0.00
01:24:36           31      0.00
01:24:36           32      0.00
01:24:36           33      0.00
01:24:36           34      0.00
01:24:36           35      0.00
01:24:36           36      0.00
01:24:36           37      0.00
01:24:36           38      0.00
01:24:36           39      0.00
01:24:36           40      0.00
01:24:36           41      0.00
01:24:36           42      0.00
01:24:36           43      0.00
01:24:36           44      0.00
01:24:36           45      0.00
01:24:36           46      0.00
01:24:36           47      0.00
01:24:36           48      0.00
01:24:36           49      0.00
