Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:36:07        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:36:08        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
01:36:08          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:36:08          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:36:08          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:36:08          3      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00     99.01
01:36:08          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
Average:          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:36:07       proc/s   cswch/s
01:36:08         0.00    230.00
Average:         0.00    230.00

01:36:07         INTR    intr/s
01:36:08          sum    151.00
01:36:08            0      0.00
01:36:08            1      0.00
01:36:08            2     16.00
01:36:08            3      0.00
01:36:08            4      0.00
01:36:08            5      0.00
01:36:08            6      0.00
01:36:08            7      0.00
01:36:08            8      0.00
01:36:08            9      0.00
01:36:08           10      0.00
01:36:08           11     70.00
01:36:08           12      0.00
01:36:08           13      1.00
01:36:08           14      0.00
01:36:08           15      0.00
01:36:08           16      0.00
01:36:08           17     63.00
01:36:08           18      0.00
01:36:08           19      1.00
01:36:08           20      0.00
01:36:08           21      0.00
01:36:08           22      0.00
01:36:08           23      0.00
01:36:08           24      0.00
01:36:08           25      0.00
01:36:08           26      0.00
01:36:08           27      0.00
01:36:08           28      0.00
01:36:08           29      0.00
01:36:08           30      0.00
01:36:08           31      0.00
01:36:08           32      0.00
01:36:08           33      0.00
01:36:08           34      0.00
01:36:08           35      0.00
01:36:08           36      0.00
01:36:08           37      0.00
01:36:08           38      0.00
01:36:08           39      0.00
01:36:08           40      0.00
01:36:08           41      0.00
01:36:08           42      0.00
01:36:08           43      0.00
01:36:08           44      0.00
01:36:08           45      0.00
01:36:08           46      0.00
01:36:08           47      0.00
01:36:08           48      0.00
01:36:08           49      0.00
01:36:08           50      0.00
01:36:08           51      0.00
01:36:08           52      0.00
01:36:08           53      0.00
01:36:08           54      0.00
01:36:08           55      0.00
01:36:08           56      0.00
01:36:08           57      0.00
01:36:08           58      0.00
01:36:08           59      0.00
01:36:08           60      0.00
01:36:08           61      0.00
01:36:08           62      0.00
01:36:08           63      0.00
Average:          sum    151.00
Average:            0      0.00
Average:            1      0.00
Average:            2     16.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     70.00
Average:           12      0.00
Average:           13      1.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     63.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:36:07     pswpin/s pswpout/s
01:36:08         0.00      0.00
Average:         0.00      0.00

01:36:07     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:36:08         0.00      0.00      4.00      0.00     14.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      4.00      0.00     14.00      0.00      0.00      0.00      0.00

01:36:07          tps      rtps      wtps   bread/s   bwrtn/s
01:36:08         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:36:07      frmpg/s   bufpg/s   campg/s
01:36:08       664.00      0.00     30.00
Average:       664.00      0.00     30.00

01:36:07    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:36:08       888608    239108     21.20     17652    121168     43756      3.88     35464    106732        44      3564     22780      1680       336      4120
Average:       888608    239108     21.20     17652    121168     43756      3.88     35464    106732        44      3564     22780      1680       336      4120

01:36:07    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:36:08            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:36:07    kbhugfree kbhugused  %hugused
01:36:08            0         0      0.00
Average:            0         0      0.00

01:36:07    dentunusd   file-nr  inode-nr    pty-nr
01:36:08          157        32       798         0
Average:          157        32       798         0

01:36:07      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:36:08            0       101      0.00      0.00      0.00         0
Average:            0       101      0.00      0.00      0.00         0

01:36:07          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
01:36:08     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:08    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
01:36:08           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:08         eth0      0.00      1.00      0.00      0.08      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      1.00      0.00      0.08      0.00      0.00      0.00      0.00

01:36:07        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
01:36:08           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:08         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07       call/s retrans/s    read/s   write/s  access/s  getatt/s
01:36:08         0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00

01:36:07      scall/s badcall/s  packet/s     udp/s     tcp/s     hit/s    miss/s   sread/s  swrite/s saccess/s sgetatt/s
01:36:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07       totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
01:36:08            5         0         0         0         0         0
Average:            5         0         0         0         0         0

01:36:07       irec/s  fwddgm/s    idel/s     orq/s   asmrq/s   asmok/s  fragok/s fragcrt/s
01:36:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07    ihdrerr/s iadrerr/s iukwnpr/s   idisc/s   odisc/s   onort/s    asmf/s   fragf/s
01:36:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07       imsg/s    omsg/s    iech/s   iechr/s    oech/s   oechr/s     itm/s    itmr/s     otm/s    otmr/s  iadrmk/s iadrmkr/s  oadrmk/s oadrmkr/s
01:36:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07       ierr/s    oerr/s idstunr/s odstunr/s   itmex/s   otmex/s iparmpb/s oparmpb/s   isrcq/s   osrcq/s  iredir/s  oredir/s
01:36:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:36:07     active/s passive/s    iseg/s    oseg/s
01:36:08         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

