Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:46:48        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:46:49        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
01:46:49          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:46:49          1      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00     99.01
01:46:49          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:46:49          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:46:49          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00     99.01
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:46:48       proc/s   cswch/s
01:46:49         0.00    278.22
Average:         0.00    278.22

01:46:48         INTR    intr/s
01:46:49          sum    157.43
01:46:49            0      0.00
01:46:49            1      0.00
01:46:49            2      5.94
01:46:49            3      0.00
01:46:49            4      0.00
01:46:49            5      0.00
01:46:49            6      0.00
01:46:49            7      0.00
01:46:49            8      0.00
01:46:49            9      0.00
01:46:49           10      0.00
01:46:49           11     70.30
01:46:49           12      0.00
01:46:49           13      1.98
01:46:49           14      0.00
01:46:49           15      0.00
01:46:49           16      0.00
01:46:49           17     78.22
01:46:49           18      0.00
01:46:49           19      0.99
01:46:49           20      0.00
01:46:49           21      0.00
01:46:49           22      0.00
01:46:49           23      0.00
01:46:49           24      0.00
01:46:49           25      0.00
01:46:49           26      0.00
01:46:49           27      0.00
01:46:49           28      0.00
01:46:49           29      0.00
01:46:49           30      0.00
01:46:49           31      0.00
01:46:49           32      0.00
01:46:49           33      0.00
01:46:49           34      0.00
01:46:49           35      0.00
01:46:49           36      0.00
01:46:49           37      0.00
01:46:49           38      0.00
01:46:49           39      0.00
01:46:49           40      0.00
01:46:49           41      0.00
01:46:49           42      0.00
01:46:49           43      0.00
01:46:49           44      0.00
01:46:49           45      0.00
01:46:49           46      0.00
01:46:49           47      0.00
01:46:49           48      0.00
01:46:49           49      0.00
01:46:49           50      0.00
01:46:49           51      0.00
01:46:49           52      0.00
01:46:49           53      0.00
01:46:49           54      0.00
01:46:49           55      0.00
